Índice,Año,Cantón,Posición,Valor
Indice de Desarrollo Humano (IDHc),2011,403,1,0.961
Indice de Desarrollo Humano (IDHc),2011,407,2,0.939
Indice de Desarrollo Humano (IDHc),2011,115,3,0.93
Indice de Desarrollo Humano (IDHc),2011,102,4,0.924
Indice de Desarrollo Humano (IDHc),2011,408,5,0.919
Indice de Desarrollo Humano (IDHc),2011,114,6,0.915
Indice de Desarrollo Humano (IDHc),2011,109,7,0.913
Indice de Desarrollo Humano (IDHc),2011,409,8,0.903
Indice de Desarrollo Humano (IDHc),2011,405,9,0.885
Indice de Desarrollo Humano (IDHc),2011,509,10,0.879
Indice de Desarrollo Humano (IDHc),2011,406,11,0.863
Indice de Desarrollo Humano (IDHc),2011,204,12,0.859
Indice de Desarrollo Humano (IDHc),2011,113,13,0.853
Indice de Desarrollo Humano (IDHc),2011,511,14,0.852
Indice de Desarrollo Humano (IDHc),2011,209,15,0.847
Indice de Desarrollo Humano (IDHc),2011,118,16,0.844
Indice de Desarrollo Humano (IDHc),2011,308,17,0.844
Indice de Desarrollo Humano (IDHc),2011,501,18,0.839
Indice de Desarrollo Humano (IDHc),2011,117,19,0.83
Indice de Desarrollo Humano (IDHc),2011,402,20,0.829
Indice de Desarrollo Humano (IDHc),2011,602,21,0.823
Indice de Desarrollo Humano (IDHc),2011,401,22,0.822
Indice de Desarrollo Humano (IDHc),2011,404,23,0.814
Indice de Desarrollo Humano (IDHc),2011,107,24,0.814
Indice de Desarrollo Humano (IDHc),2011,607,25,0.813
Indice de Desarrollo Humano (IDHc),2011,301,26,0.812
Indice de Desarrollo Humano (IDHc),2011,205,27,0.807
Indice de Desarrollo Humano (IDHc),2011,508,28,0.807
Indice de Desarrollo Humano (IDHc),2011,307,29,0.805
Indice de Desarrollo Humano (IDHc),2011,304,30,0.801
Indice de Desarrollo Humano (IDHc),2011,601,31,0.8
Indice de Desarrollo Humano (IDHc),2011,303,32,0.796
Indice de Desarrollo Humano (IDHc),2011,507,33,0.792
Indice de Desarrollo Humano (IDHc),2011,210,34,0.79
Indice de Desarrollo Humano (IDHc),2011,503,35,0.789
Indice de Desarrollo Humano (IDHc),2011,605,36,0.786
Indice de Desarrollo Humano (IDHc),2011,502,37,0.785
Indice de Desarrollo Humano (IDHc),2011,104,38,0.784
Indice de Desarrollo Humano (IDHc),2011,116,39,0.781
Indice de Desarrollo Humano (IDHc),2011,506,40,0.779
Indice de Desarrollo Humano (IDHc),2011,203,41,0.779
Indice de Desarrollo Humano (IDHc),2011,610,42,0.779
Indice de Desarrollo Humano (IDHc),2011,604,43,0.778
Indice de Desarrollo Humano (IDHc),2011,112,44,0.777
Indice de Desarrollo Humano (IDHc),2011,306,45,0.776
Indice de Desarrollo Humano (IDHc),2011,609,46,0.768
Indice de Desarrollo Humano (IDHc),2011,606,47,0.762
Indice de Desarrollo Humano (IDHc),2011,505,48,0.762
Indice de Desarrollo Humano (IDHc),2011,108,49,0.762
Indice de Desarrollo Humano (IDHc),2011,119,50,0.76
Indice de Desarrollo Humano (IDHc),2011,207,51,0.758
Indice de Desarrollo Humano (IDHc),2011,101,52,0.756
Indice de Desarrollo Humano (IDHc),2011,305,53,0.755
Indice de Desarrollo Humano (IDHc),2011,504,54,0.755
Indice de Desarrollo Humano (IDHc),2011,212,55,0.75
Indice de Desarrollo Humano (IDHc),2011,201,56,0.749
Indice de Desarrollo Humano (IDHc),2011,202,57,0.738
Indice de Desarrollo Humano (IDHc),2011,111,58,0.738
Indice de Desarrollo Humano (IDHc),2011,213,59,0.738
Indice de Desarrollo Humano (IDHc),2011,608,60,0.737
Indice de Desarrollo Humano (IDHc),2011,106,61,0.731
Indice de Desarrollo Humano (IDHc),2011,703,62,0.729
Indice de Desarrollo Humano (IDHc),2011,211,63,0.726
Indice de Desarrollo Humano (IDHc),2011,611,64,0.721
Indice de Desarrollo Humano (IDHc),2011,302,65,0.721
Indice de Desarrollo Humano (IDHc),2011,206,66,0.719
Indice de Desarrollo Humano (IDHc),2011,510,67,0.716
Indice de Desarrollo Humano (IDHc),2011,208,68,0.713
Indice de Desarrollo Humano (IDHc),2011,120,69,0.696
Indice de Desarrollo Humano (IDHc),2011,105,70,0.696
Indice de Desarrollo Humano (IDHc),2011,706,71,0.695
Indice de Desarrollo Humano (IDHc),2011,103,72,0.677
Indice de Desarrollo Humano (IDHc),2011,701,73,0.674
Indice de Desarrollo Humano (IDHc),2011,214,74,0.671
Indice de Desarrollo Humano (IDHc),2011,702,75,0.671
Indice de Desarrollo Humano (IDHc),2011,215,76,0.659
Indice de Desarrollo Humano (IDHc),2011,410,77,0.655
Indice de Desarrollo Humano (IDHc),2011,603,78,0.654
Indice de Desarrollo Humano (IDHc),2011,705,79,0.613
Indice de Desarrollo Humano (IDHc),2011,704,80,0.611
Indice de Desarrollo Humano (IDHc),2011,110,81,0.596
Indice de Esperanza de Vida (IEV),2011,117,1,0.976
Indice de Esperanza de Vida (IEV),2011,403,2,0.976
Indice de Esperanza de Vida (IEV),2011,511,3,0.948
Indice de Esperanza de Vida (IEV),2011,204,4,0.943
Indice de Esperanza de Vida (IEV),2011,118,5,0.939
Indice de Esperanza de Vida (IEV),2011,706,6,0.939
Indice de Esperanza de Vida (IEV),2011,410,7,0.929
Indice de Esperanza de Vida (IEV),2011,509,8,0.928
Indice de Esperanza de Vida (IEV),2011,303,9,0.924
Indice de Esperanza de Vida (IEV),2011,114,10,0.918
Indice de Esperanza de Vida (IEV),2011,203,11,0.909
Indice de Esperanza de Vida (IEV),2011,202,12,0.902
Indice de Esperanza de Vida (IEV),2011,408,13,0.901
Indice de Esperanza de Vida (IEV),2011,604,14,0.893
Indice de Esperanza de Vida (IEV),2011,214,15,0.891
Indice de Esperanza de Vida (IEV),2011,115,16,0.89
Indice de Esperanza de Vida (IEV),2011,120,17,0.888
Indice de Esperanza de Vida (IEV),2011,304,18,0.887
Indice de Esperanza de Vida (IEV),2011,305,19,0.885
Indice de Esperanza de Vida (IEV),2011,211,20,0.885
Indice de Esperanza de Vida (IEV),2011,104,21,0.885
Indice de Esperanza de Vida (IEV),2011,212,22,0.879
Indice de Esperanza de Vida (IEV),2011,302,23,0.879
Indice de Esperanza de Vida (IEV),2011,210,24,0.877
Indice de Esperanza de Vida (IEV),2011,215,25,0.877
Indice de Esperanza de Vida (IEV),2011,404,26,0.876
Indice de Esperanza de Vida (IEV),2011,206,27,0.876
Indice de Esperanza de Vida (IEV),2011,207,28,0.875
Indice de Esperanza de Vida (IEV),2011,402,29,0.873
Indice de Esperanza de Vida (IEV),2011,508,30,0.872
Indice de Esperanza de Vida (IEV),2011,705,31,0.871
Indice de Esperanza de Vida (IEV),2011,112,32,0.868
Indice de Esperanza de Vida (IEV),2011,102,33,0.866
Indice de Esperanza de Vida (IEV),2011,702,34,0.866
Indice de Esperanza de Vida (IEV),2011,111,35,0.865
Indice de Esperanza de Vida (IEV),2011,213,36,0.865
Indice de Esperanza de Vida (IEV),2011,602,37,0.865
Indice de Esperanza de Vida (IEV),2011,208,38,0.863
Indice de Esperanza de Vida (IEV),2011,406,39,0.859
Indice de Esperanza de Vida (IEV),2011,113,40,0.857
Indice de Esperanza de Vida (IEV),2011,307,41,0.857
Indice de Esperanza de Vida (IEV),2011,308,42,0.856
Indice de Esperanza de Vida (IEV),2011,603,43,0.853
Indice de Esperanza de Vida (IEV),2011,209,44,0.852
Indice de Esperanza de Vida (IEV),2011,201,45,0.851
Indice de Esperanza de Vida (IEV),2011,409,46,0.85
Indice de Esperanza de Vida (IEV),2011,119,47,0.85
Indice de Esperanza de Vida (IEV),2011,109,48,0.848
Indice de Esperanza de Vida (IEV),2011,103,49,0.847
Indice de Esperanza de Vida (IEV),2011,101,50,0.845
Indice de Esperanza de Vida (IEV),2011,405,51,0.845
Indice de Esperanza de Vida (IEV),2011,108,52,0.844
Indice de Esperanza de Vida (IEV),2011,401,53,0.842
Indice de Esperanza de Vida (IEV),2011,110,54,0.84
Indice de Esperanza de Vida (IEV),2011,107,55,0.84
Indice de Esperanza de Vida (IEV),2011,301,56,0.836
Indice de Esperanza de Vida (IEV),2011,306,57,0.835
Indice de Esperanza de Vida (IEV),2011,608,58,0.833
Indice de Esperanza de Vida (IEV),2011,105,59,0.832
Indice de Esperanza de Vida (IEV),2011,510,60,0.831
Indice de Esperanza de Vida (IEV),2011,205,61,0.825
Indice de Esperanza de Vida (IEV),2011,407,62,0.825
Indice de Esperanza de Vida (IEV),2011,507,63,0.825
Indice de Esperanza de Vida (IEV),2011,703,64,0.822
Indice de Esperanza de Vida (IEV),2011,506,65,0.815
Indice de Esperanza de Vida (IEV),2011,605,66,0.811
Indice de Esperanza de Vida (IEV),2011,606,67,0.808
Indice de Esperanza de Vida (IEV),2011,116,68,0.808
Indice de Esperanza de Vida (IEV),2011,501,69,0.799
Indice de Esperanza de Vida (IEV),2011,611,70,0.793
Indice de Esperanza de Vida (IEV),2011,704,71,0.789
Indice de Esperanza de Vida (IEV),2011,609,72,0.786
Indice de Esperanza de Vida (IEV),2011,504,73,0.786
Indice de Esperanza de Vida (IEV),2011,502,74,0.781
Indice de Esperanza de Vida (IEV),2011,106,75,0.781
Indice de Esperanza de Vida (IEV),2011,601,76,0.78
Indice de Esperanza de Vida (IEV),2011,503,77,0.775
Indice de Esperanza de Vida (IEV),2011,701,78,0.774
Indice de Esperanza de Vida (IEV),2011,505,79,0.749
Indice de Esperanza de Vida (IEV),2011,607,80,0.746
Indice de Esperanza de Vida (IEV),2011,610,81,0.744
Indice de Conocimiento (IC),2011,407,1,0.993
Indice de Conocimiento (IC),2011,408,2,0.992
Indice de Conocimiento (IC),2011,403,3,0.976
Indice de Conocimiento (IC),2011,503,4,0.975
Indice de Conocimiento (IC),2011,304,5,0.966
Indice de Conocimiento (IC),2011,508,6,0.966
Indice de Conocimiento (IC),2011,502,7,0.964
Indice de Conocimiento (IC),2011,409,8,0.964
Indice de Conocimiento (IC),2011,209,9,0.962
Indice de Conocimiento (IC),2011,112,10,0.961
Indice de Conocimiento (IC),2011,511,11,0.958
Indice de Conocimiento (IC),2011,605,12,0.952
Indice de Conocimiento (IC),2011,204,13,0.952
Indice de Conocimiento (IC),2011,607,14,0.952
Indice de Conocimiento (IC),2011,501,15,0.951
Indice de Conocimiento (IC),2011,115,16,0.946
Indice de Conocimiento (IC),2011,608,17,0.941
Indice de Conocimiento (IC),2011,509,18,0.941
Indice de Conocimiento (IC),2011,114,19,0.938
Indice de Conocimiento (IC),2011,609,20,0.937
Indice de Conocimiento (IC),2011,119,21,0.927
Indice de Conocimiento (IC),2011,117,22,0.926
Indice de Conocimiento (IC),2011,405,23,0.925
Indice de Conocimiento (IC),2011,505,24,0.925
Indice de Conocimiento (IC),2011,116,25,0.922
Indice de Conocimiento (IC),2011,610,26,0.92
Indice de Conocimiento (IC),2011,602,27,0.918
Indice de Conocimiento (IC),2011,601,28,0.916
Indice de Conocimiento (IC),2011,301,29,0.912
Indice de Conocimiento (IC),2011,102,30,0.906
Indice de Conocimiento (IC),2011,510,31,0.893
Indice de Conocimiento (IC),2011,308,32,0.892
Indice de Conocimiento (IC),2011,109,33,0.892
Indice de Conocimiento (IC),2011,107,34,0.891
Indice de Conocimiento (IC),2011,213,35,0.891
Indice de Conocimiento (IC),2011,104,36,0.891
Indice de Conocimiento (IC),2011,504,37,0.886
Indice de Conocimiento (IC),2011,402,38,0.884
Indice de Conocimiento (IC),2011,507,39,0.882
Indice de Conocimiento (IC),2011,113,40,0.878
Indice de Conocimiento (IC),2011,606,41,0.876
Indice de Conocimiento (IC),2011,205,42,0.873
Indice de Conocimiento (IC),2011,306,43,0.87
Indice de Conocimiento (IC),2011,404,44,0.863
Indice de Conocimiento (IC),2011,207,45,0.863
Indice de Conocimiento (IC),2011,203,46,0.859
Indice de Conocimiento (IC),2011,406,47,0.858
Indice de Conocimiento (IC),2011,106,48,0.852
Indice de Conocimiento (IC),2011,210,49,0.845
Indice de Conocimiento (IC),2011,212,50,0.839
Indice de Conocimiento (IC),2011,604,51,0.838
Indice de Conocimiento (IC),2011,506,52,0.837
Indice de Conocimiento (IC),2011,401,53,0.828
Indice de Conocimiento (IC),2011,305,54,0.826
Indice de Conocimiento (IC),2011,105,55,0.825
Indice de Conocimiento (IC),2011,202,56,0.822
Indice de Conocimiento (IC),2011,120,57,0.821
Indice de Conocimiento (IC),2011,701,58,0.812
Indice de Conocimiento (IC),2011,108,59,0.812
Indice de Conocimiento (IC),2011,211,60,0.808
Indice de Conocimiento (IC),2011,201,61,0.807
Indice de Conocimiento (IC),2011,303,62,0.797
